# NsId 表（XML-05、PKG-09）。列：变体名	规范前缀（- 表示默认命名空间/无前缀）	Transitional URI	Strict URI（- 表示两族相同）
# Strict 与 Transitional 同族 URI 映射到同一 NsId；生成时按 PartFlavor 选 URI。
W	w	http://schemas.openxmlformats.org/wordprocessingml/2006/main	http://purl.oclc.org/ooxml/wordprocessingml/main
R	r	http://schemas.openxmlformats.org/officeDocument/2006/relationships	http://purl.oclc.org/ooxml/officeDocument/relationships
A	a	http://schemas.openxmlformats.org/drawingml/2006/main	http://purl.oclc.org/ooxml/drawingml/main
Wp	wp	http://schemas.openxmlformats.org/drawingml/2006/wordprocessingDrawing	http://purl.oclc.org/ooxml/drawingml/wordprocessingDrawing
Pic	pic	http://schemas.openxmlformats.org/drawingml/2006/picture	http://purl.oclc.org/ooxml/drawingml/picture
C	c	http://schemas.openxmlformats.org/drawingml/2006/chart	http://purl.oclc.org/ooxml/drawingml/chart
Cdr	cdr	http://schemas.openxmlformats.org/drawingml/2006/chartDrawing	http://purl.oclc.org/ooxml/drawingml/chartDrawing
Dgm	dgm	http://schemas.openxmlformats.org/drawingml/2006/diagram	http://purl.oclc.org/ooxml/drawingml/diagram
Lc	lc	http://schemas.openxmlformats.org/drawingml/2006/lockedCanvas	http://purl.oclc.org/ooxml/drawingml/lockedCanvas
M	m	http://schemas.openxmlformats.org/officeDocument/2006/math	http://purl.oclc.org/ooxml/officeDocument/math
S	s	http://schemas.openxmlformats.org/officeDocument/2006/sharedTypes	http://purl.oclc.org/ooxml/officeDocument/sharedTypes
B	b	http://schemas.openxmlformats.org/officeDocument/2006/bibliography	http://purl.oclc.org/ooxml/officeDocument/bibliography
Vt	vt	http://schemas.openxmlformats.org/officeDocument/2006/docPropsVTypes	http://purl.oclc.org/ooxml/officeDocument/docPropsVTypes
Ep	ep	http://schemas.openxmlformats.org/officeDocument/2006/extended-properties	http://purl.oclc.org/ooxml/officeDocument/extendedProperties
Op	op	http://schemas.openxmlformats.org/officeDocument/2006/custom-properties	http://purl.oclc.org/ooxml/officeDocument/customProperties
Ds	ds	http://schemas.openxmlformats.org/officeDocument/2006/customXml	http://purl.oclc.org/ooxml/officeDocument/customXml
Sl	sl	http://schemas.openxmlformats.org/schemaLibrary/2006/main	http://purl.oclc.org/ooxml/schemaLibrary/main
Mc	mc	http://schemas.openxmlformats.org/markup-compatibility/2006	-
Ct	-	http://schemas.openxmlformats.org/package/2006/content-types	-
Rels	-	http://schemas.openxmlformats.org/package/2006/relationships	-
Cp	cp	http://schemas.openxmlformats.org/package/2006/metadata/core-properties	-
Dc	dc	http://purl.org/dc/elements/1.1/	-
DcTerms	dcterms	http://purl.org/dc/terms/	-
DcMiType	dcmitype	http://purl.org/dc/dcmitype/	-
Xsi	xsi	http://www.w3.org/2001/XMLSchema-instance	-
Xml	xml	http://www.w3.org/XML/1998/namespace	-
Xmlns	xmlns	http://www.w3.org/2000/xmlns/	-
V	v	urn:schemas-microsoft-com:vml	-
O	o	urn:schemas-microsoft-com:office:office	-
W10	w10	urn:schemas-microsoft-com:office:word	-
X	x	urn:schemas-microsoft-com:office:excel	-
W14	w14	http://schemas.microsoft.com/office/word/2010/wordml	-
W15	w15	http://schemas.microsoft.com/office/word/2012/wordml	-
W16	w16	http://schemas.microsoft.com/office/word/2018/wordml	-
W16Cid	w16cid	http://schemas.microsoft.com/office/word/2016/wordml/cid	-
W16Se	w16se	http://schemas.microsoft.com/office/word/2015/wordml/symex	-
W16Sdtdh	w16sdtdh	http://schemas.microsoft.com/office/word/2020/wordml/sdtdatahash	-
W16Du	w16du	http://schemas.microsoft.com/office/word/2023/wordml/word16du	-
W16Sdtfl	w16sdtfl	http://schemas.microsoft.com/office/word/2024/wordSdtFallback	-
Wp14	wp14	http://schemas.microsoft.com/office/word/2010/wordprocessingDrawing	-
Wps	wps	http://schemas.microsoft.com/office/word/2010/wordprocessingShape	-
Wpg	wpg	http://schemas.microsoft.com/office/word/2010/wordprocessingGroup	-
Wpc	wpc	http://schemas.microsoft.com/office/word/2010/wordprocessingCanvas	-
Wpi	wpi	http://schemas.microsoft.com/office/word/2010/wordprocessingInk	-
Wne	wne	http://schemas.microsoft.com/office/word/2006/wordml	-
Cx	cx	http://schemas.microsoft.com/office/drawing/2014/chartex	-
C14	c14	http://schemas.microsoft.com/office/drawing/2007/8/2/chart	-
Dsp	dsp	http://schemas.microsoft.com/office/drawing/2008/diagram	-
A14	a14	http://schemas.microsoft.com/office/drawing/2010/main	-
A16	a16	http://schemas.microsoft.com/office/drawing/2014/main	-
Asvg	asvg	http://schemas.microsoft.com/office/drawing/2016/SVG/main	-
Aink	aink	http://schemas.microsoft.com/office/drawing/2016/ink	-
Am3d	am3d	http://schemas.microsoft.com/office/drawing/2017/model3d	-
Inkml	inkml	http://www.w3.org/2003/InkML	-
